ds,SALES,yearly,trend,monthly,weekly,holidays,KPM_COST_EMOD,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER,REDEMPTION_COST_MY_MAGAZINE,TRADE_COST_TRADE_TPR_DISPLAY,TRADE_COST_TRADE_TPR_FEATURE,TRADE_COST_TRADE_TPR_FEATURE_DISPLAY,TRADE_COST_TRADE_TPRONLY
2021-12-28,129275702.02000135,-47042309.04108026,195722910.3846933,-15074971.345635414,-25645170.266755365,0.0,0.0,16264.533665999998,0.0,2985.6450000000004,183.75,19.32,2586.56,231.08,1030.01
2021-12-29,137760639.88001174,-46147922.56019268,195729160.47556543,-6366398.80219622,-23077974.78343683,0.0,0.0,19701.23441,0.0,3209.55,246.25,11.2,204.61,22.560000000000002,636.98
2021-12-30,169667089.2700028,-45129424.99017669,195735410.5664376,-194231.30565344737,-19345711.806346778,0.0,0.0,23838.37702,0.0,4191.39,298.125,13.5,501.74,40.99,894.36
2021-12-31,218653958.66998947,-44013576.46914932,195741660.6573097,-1196824.076249598,26582825.88591872,0.0,0.0,21232.470501999996,2584.0080000000003,3800.835,295.0,31.05,683.82,81.55,1451.4199999999998
2022-01-01,115101189.17000133,-42826154.40256774,195747910.74818188,-7625787.887614092,36253865.72219287,0.0,0.0,6864.409166,2527.616,2226.7499999999995,151.25,7.0,389.00000000000006,44.99,794.16
2022-01-02,160500191.26999623,-41590989.46910211,195754160.83905405,-13576400.41191416,24965511.66547253,0.0,0.0,7118.051346,2581.236,3669.87,233.75,10.92,489.9600000000001,50.470000000000006,944.47
2022-01-03,148414808.7200158,-40329072.10482812,195760410.9299262,-14497795.842737133,-19733346.41689231,0.0,0.0,7071.781782000001,2573.8719999999994,289.35,223.125,11.09,514.67,65.69,708.23
2022-01-04,149335814.11002412,-39057758.7664601,195766661.02079836,-10847935.413060864,-25645170.266816568,0.0,0.0,7066.426152,2562.392,289.35,274.375,12.14,506.35,51.160000000000004,769.3799999999999
2022-01-05,158987505.5999204,-37790104.322606735,195772911.1116705,-6853395.936770772,-23077974.783471137,0.0,0.0,6944.001036,2553.88,3043.499999999999,295.625,684.3499999999999,17.9,7.16,3472.06
2022-01-06,150626470.90991172,-36534343.15588981,195779161.20254263,-6055591.315349421,-19345711.806372155,0.0,0.0,7140.993941999999,2563.847999999999,5770.349999999999,207.5,770.3,37.59,7.16,3536.27
2022-01-07,160417272.7899053,-35293537.08864141,195785411.2934148,-8121193.114518416,26582825.885934778,0.0,0.0,5319.920165999999,2559.284,10289.85,261.875,893.4,23.27,10.74,4126.31
2022-01-08,190887443.9799032,-34065403.2021463,195791661.3842869,-9764992.254216503,36253865.72219558,0.0,0.0,5219.2752120000005,2540.2719999999995,14295.33,284.375,1027.6999999999998,26.85,23.27,5049.54
2022-01-09,207703320.45997426,-32842329.153831325,195797911.47515908,-8418697.008225437,24965511.665437303,0.0,0.0,5189.852964,2581.1520000000005,16110.300000000003,310.0,1133.3,21.48,16.11,5295.689999999999
2022-01-10,166186963.46991658,-31611577.86962548,195804161.5660312,-4709343.077731224,-19733346.41690018,0.0,0.0,4889.870052000001,2576.6439999999993,11936.85,253.125,861.2,25.06,10.74,4467.7300000000005
2022-01-11,160612023.3499149,-30355677.66983148,195810411.6569034,-1313354.0591718266,-25645170.26677897,0.0,0.0,5291.611434,2544.64,9647.999999999996,236.875,844.65,283.12,105.37999999999998,4305.43
2022-01-12,184636452.0899778,-29052988.14967637,195816661.74777552,359268.6818317509,-23077974.78345873,0.0,818180.6540692184,5374.722024,3438.6519999999996,13453.125000000004,281.25,2953.04,30271.890000000007,13853.460000000001,13651.689999999999
2022-01-13,206656278.49995753,-27678426.6502551,195822911.8386477,1937071.8705520344,-19345711.806327965,0.0,54191.34593078164,5338.582998,3444.6719999999996,14957.699999999999,361.25,3209.6100000000006,33289.09,15746.739999999996,14288.49
2022-01-14,251841758.0499969,-26204335.08602511,195829161.92951983,6265092.783893289,26582825.885810506,0.0,0.0,5335.321433999999,3439.1839999999993,17063.850000000002,455.0,3691.5399999999995,41467.079999999994,20137.38,17103.270000000004
2022-01-15,277132719.4400147,-24601462.393686783,195835412.020392,13805014.178887766,36253865.72219666,0.0,0.0,5235.119099999999,3372.3479999999995,17392.950000000004,383.125,4111.93,44854.36,21776.120000000003,19119.340000000004
