ds,SALES,yearly,trend,monthly,weekly,holidays,KPM_COST_CBA,KPM_COST_EMOD,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER
2022-02-10,26891228.640001964,-421586.5907805871,28782163.5738172,260334.0641850973,-3586734.6960543287,0.0,0.0,0.0,375.81383,642.46,2648.5499999999997
2022-02-11,29409719.92000214,-147338.84349515385,28787797.964236785,585811.5909728959,2840660.53113179,0.0,0.0,0.0,381.910286,637.98,3222.7499999999995
2022-02-12,37089721.92000274,152887.33397878858,28793432.354656383,133212.458781736,5481025.431238758,0.0,0.0,0.0,374.75871400000005,639.184,3429.8499999999995
2022-02-13,39882316.680003256,474548.62345143815,28799066.745075967,-554065.5430706644,5513520.605421446,0.0,0.0,0.0,383.4073220000001,609.28,2823.6
2022-02-14,30165740.4400023,812167.046592117,28804701.13549557,-755078.7800235362,-2481118.2531303437,0.0,0.0,0.0,355.506458,530.852,1943.8000000000004
2022-02-15,24138360.64000178,1159485.2479580073,28810335.52591516,-418232.9001230362,-3810760.512353603,0.0,0.0,0.0,334.669052,641.928,2219.5000000000005
2022-02-16,24458561.08000182,1509644.2070282768,28815969.91633475,-242438.53610812064,-3956593.106254797,0.0,0.0,0.0,381.32086000000004,642.628,2121.2000000000003
2022-02-17,23269380.32000183,1855378.0932556144,28821604.30675434,-868107.1958230475,-3586734.696053988,0.0,0.0,0.0,392.99409999999995,645.232,1643.45
2022-02-18,27076440.88000225,2189220.537843827,28827238.69717393,-2011244.7287926604,2840660.531132883,0.0,0.0,0.0,386.316632,647.36,2074.2
2022-02-19,31910211.240002956,2503716.3241869085,28832873.08759352,-2506756.924678636,5481025.431239919,0.0,0.0,0.0,375.86412600000006,646.1840000000001,2403.3500000000004
2022-02-20,33940703.52000268,2791632.4016801817,28838507.47801312,-1356756.356759224,5513520.60541663,0.0,0.0,0.0,391.65079399999996,648.76,2211.7999999999997
2022-02-21,29462917.320002265,3046162.205782003,28844141.868432708,1162852.2529736944,-2481118.2531386805,-180910.39931603716,0.0,0.0,392.3855159999999,648.116,1976.7500000000005
